instrument,staff,measureNumber,offset,duration,frequency,step,octave
Piano,,33,131.7642857142857,0.25,987.7666025122488,B,5
Piano,,34,132.0142857142857,0.25,880.0000000000003,A,5
Piano,,34,132.2642857142857,0.25,659.2551138257401,E,5
Piano,,34,132.5142857142857,0.25,739.988845423269,F,5
Piano,,34,132.7642857142857,0.25,830.6093951598907,G,5
Piano,,34,133.0142857142857,0.25,880.0000000000003,A,5
Piano,,34,133.2642857142857,0.25,987.7666025122488,B,5
Piano,,34,133.5142857142857,0.25,1108.7305239074892,C,6
Piano,,34,133.7642857142857,0.25,987.7666025122488,B,5
Piano,,34,134.0142857142857,0.25,880.0000000000003,A,5
Piano,,34,134.2642857142857,0.25,659.2551138257401,E,5
Piano,,34,134.5142857142857,0.25,739.988845423269,F,5
Piano,,34,134.7642857142857,0.25,830.6093951598907,G,5
Piano,,34,135.0142857142857,0.25,880.0000000000003,A,5
Piano,,34,135.2642857142857,0.25,987.7666025122488,B,5
Piano,,34,135.5142857142857,0.25,1108.7305239074892,C,6
Piano,,34,135.7642857142857,0.25,987.7666025122488,B,5
Piano,,35,136.0142857142857,0.25,880.0000000000003,A,5
Piano,,35,136.2642857142857,0.25,659.2551138257401,E,5
Piano,,35,136.5142857142857,0.25,739.988845423269,F,5
Piano,,35,136.7642857142857,0.25,830.6093951598907,G,5
Piano,,35,137.0142857142857,0.25,880.0000000000003,A,5
Piano,,35,137.2642857142857,0.25,987.7666025122488,B,5
Piano,,35,137.5142857142857,0.25,1108.7305239074892,C,6
Piano,,35,137.7642857142857,0.25,1174.659071669631,D,6
Piano,,35,138.0142857142857,0.25,1318.5102276514808,E,6
Piano,,35,138.2642857142857,0.25,1244.5079348883246,D,6
Piano,,35,138.5142857142857,0.25,1318.5102276514808,E,6
Piano,,35,138.7642857142857,0.25,1244.5079348883246,D,6
Piano,,35,139.0142857142857,0.25,1318.5102276514808,E,6
Piano,,35,139.2642857142857,0.25,1108.7305239074892,C,6
Piano,,35,139.5142857142857,0.25,987.7666025122488,B,5
Piano,,35,139.7642857142857,0.25,880.0000000000003,A,5
Piano,,36,140.0142857142857,2.0,830.6093951598907,G,5
Piano,,36,140.0142857142857,32/15,0.0,G,5
Piano,,36,142.0142857142857,2.0,932.3275230361803,A,5
Piano,,36,142.14761904761906,2/15,987.7666025122488,B,5
Piano,,36,142.28095238095239,2/15,932.3275230361803,A,5
Piano,,36,142.4142857142857,2/15,987.7666025122488,B,5
Piano,,36,142.54761904761904,2/15,932.3275230361803,A,5
Piano,,36,142.6809523809524,2/15,987.7666025122488,B,5
Piano,,36,142.81428571428572,2/15,932.3275230361803,A,5
Piano,,36,142.94761904761904,2/15,987.7666025122488,B,5
Piano,,36,143.08095238095237,2/15,932.3275230361803,A,5
Piano,,36,143.21428571428572,2/15,987.7666025122488,B,5
Piano,,36,143.34761904761905,2/15,932.3275230361803,A,5
Piano,,36,143.48095238095237,2/15,987.7666025122488,B,5
Piano,,36,143.61428571428573,2/15,932.3275230361803,A,5
Piano,,36,143.74761904761905,2/15,830.6093951598907,G,5
Piano,,36,143.88095238095238,2/15,932.3275230361803,A,5
Piano,,37,144.0142857142857,1.0,830.6093951598907,G,5
Piano,,37,145.0142857142857,1.0,219.9999999999999,A,3
Piano,,37,145.0142857142857,1.0,277.182630976872,C,4
Piano,,37,145.0142857142857,1.0,329.62755691286986,E,4
Piano,,37,145.0142857142857,1.0,440.0,A,4
Piano,,37,146.0142857142857,0.25,219.9999999999999,A,3
Piano,,37,146.0142857142857,0.25,277.182630976872,C,4
Piano,,37,146.0142857142857,0.25,329.62755691286986,E,4
Piano,,37,146.0142857142857,0.25,440.0,A,4
Piano,,37,146.2642857142857,0.25,329.62755691286986,E,4
Piano,,37,146.5142857142857,0.25,369.99442271163434,F,4
Piano,,37,146.7642857142857,0.25,415.3046975799451,G,4
Piano,,37,147.0142857142857,0.25,440.0,A,4
Piano,,37,147.2642857142857,0.25,493.8833012561241,B,4
Piano,,37,147.5142857142857,0.25,554.3652619537443,C,5
Piano,,37,147.7642857142857,0.25,493.8833012561241,B,4
Piano,,38,148.0142857142857,0.25,440.0,A,4
Piano,,38,148.2642857142857,0.25,329.62755691286986,E,4
Piano,,38,148.5142857142857,0.25,369.99442271163434,F,4
Piano,,38,148.7642857142857,0.25,415.3046975799451,G,4
Piano,,38,149.0142857142857,0.25,440.0,A,4
Piano,,38,149.2642857142857,0.25,493.8833012561241,B,4
Piano,,38,149.5142857142857,0.25,554.3652619537443,C,5
Piano,,38,149.7642857142857,0.25,493.8833012561241,B,4
Piano,,38,150.0142857142857,0.25,440.0,A,4
Piano,,38,150.2642857142857,0.25,329.62755691286986,E,4
Piano,,38,150.5142857142857,0.25,369.99442271163434,F,4
Piano,,38,150.7642857142857,0.25,415.3046975799451,G,4
Piano,,38,151.0142857142857,0.25,440.0,A,4
Piano,,38,151.2642857142857,0.25,493.8833012561241,B,4
Piano,,38,151.5142857142857,0.25,554.3652619537443,C,5
